query_id,doc_id,relevance
Q1_1,D14,2.0
Q1_1,D840,2.0
Q1_1,D3,3.0
Q1_1,D875,2.0
Q1_1,D861,2.0
Q1_1,D742,2.0
Q1_1,D847,2.0
Q1_1,D741,2.0
Q1_1,D8041,2.0
Q1_1,D7377,2.0
Q1_1,D4361,1.8
Q1_1,D9169,1.83
Q1_1,D889,1.71
Q1_1,D884,1.71
Q1_1,D886,2.0
Q1_1,D885,2.0
Q1_1,D794,2.0
Q1_1,D733,2.0
Q2_1,D757,3.0
Q2_1,D738,3.0
Q2_1,D813,3.0
Q2_1,D10329,2.0
Q2_1,D10277,2.0
Q2_1,D8089,2.0
Q2_1,D5225,2.0
Q2_1,D9157,2.0
Q2_1,D8081,2.0
Q2_1,D9337,2.0
Q2_1,D10089,2.0
Q2_1,D4313,2.0
Q2_1,D2137,1.8
Q2_1,D8377,2.0
Q2_1,D7185,2.0
Q2_1,D8197,2.8
Q2_1,D8169,1.8
Q2_1,D889,2.6
Q2_1,D888,2.6
Q2_1,D4,3.0
Q2_1,D9289,2.0
Q2_1,D8109,2.0
Q3_1,D12,3.0
Q3_1,D832,2.0
Q3_1,D6233,2.2
Q3_1,D4033,1.83
Q3_1,D4125,1.83
Q3_1,D4,3.0
Q3_1,D876,2.0
Q4_1,D754,2.6
Q4_1,D879,2.0
Q4_1,D829,2.0
Q4_1,D827,2.0
Q4_1,D772,3.0
Q4_1,D875,3.0
Q4_1,D841,2.0
Q4_1,D834,2.0
Q4_1,D822,2.0
Q4_1,D750,2.0
Q4_1,D823,2.0
Q4_1,D8165,2.0
Q4_1,D1121,2.0
Q4_1,D10209,2.0
Q4_1,D8001,2.0
Q4_1,D7217,1.6
Q4_1,D784,2.0
Q4_1,D888,2.0
Q4_1,D780,2.0
Q4_1,D886,2.0
Q4_1,D876,2.0
Q4_1,D885,3.0
Q4_1,D881,2.0
Q4_1,D3397,2.0
Q4_1,D8273,2.0
Q4_1,D8217,1.8
Q5_1,D798,2.0
Q5_1,D752,2.0
Q5_1,D890,3.0
Q5_1,D755,2.0
Q5_1,D801,2.0
Q5_1,D776,3.0
Q5_1,D770,2.0
Q5_1,D826,2.0
Q5_1,D788,3.0
Q5_1,D827,2.0
Q5_1,D753,2.0
Q5_1,D816,3.0
Q5_1,D789,3.0
Q5_1,D1,2.0
Q5_1,D831,3.0
Q5_1,D802,2.0
Q5_1,D782,3.0
Q5_1,D799,3.0
Q5_1,D777,2.0
Q5_1,D784,1.71
Q5_1,D889,1.71
Q5_1,D888,1.71
Q5_1,D767,2.0
Q5_1,D887,3.0
Q5_1,D877,2.0
Q5_1,D833,2.0
Q5_1,D773,3.0
Q5_1,D769,2.0
Q5_1,D744,2.0
Q5_1,D811,2.0
Q5_1,D763,2.0
Q5_1,D765,2.0
Q6_1,D793,3.0
Q6_1,D798,2.0
Q6_1,D890,3.0
Q6_1,D818,2.0
Q6_1,D776,1.2
Q6_1,D879,3.0
Q6_1,D769,2.0
Q6_1,D883,3.0
Q6_1,D815,3.0
Q6_1,D725,1.2
Q6_1,D777,2.0
Q6_1,D5281,1.33
Q6_1,D884,1.71
Q6_1,D4,1.71
Q6_1,D774,1.8
Q6_1,D775,3.0
Q6_1,D808,2.0
Q6_1,D765,2.0
Q6_1,D833,2.0
Q6_1,D773,3.0
Q6_1,D752,2.0
Q6_1,D866,2.0
Q7_1,D796,2.0
Q7_1,D776,3.0
Q7_1,D758,2.0
Q7_1,D768,2.0
Q7_1,D821,2.0
Q7_1,D771,2.0
Q7_1,D790,2.0
Q7_1,D804,2.0
Q7_1,D5205,2.0
Q7_1,D4045,2.0
Q7_1,D8257,2.0
Q7_1,D7281,1.6
Q7_1,D7253,2.0
Q7_1,D10057,2.0
Q7_1,D791,1.8
Q7_1,D1193,2.5
Q7_1,D7341,1.8
Q7_1,D767,2.0
Q7_1,D773,2.0
Q7_1,D9133,2.0
Q8_1,D793,2.0
Q8_1,D796,2.0
Q8_1,D798,2.0
Q8_1,D752,2.0
Q8_1,D890,2.0
Q8_1,D801,1.8
Q8_1,D776,2.0
Q8_1,D879,2.0
Q8_1,D827,2.0
Q8_1,D757,2.0
Q8_1,D747,2.0
Q8_1,D863,2.0
Q8_1,D758,1.2
Q8_1,D748,2.0
Q8_1,D769,2.0
Q8_1,D822,2.0
Q8_1,D830,2.0
Q8_1,D835,2.0
Q8_1,D839,2.0
Q8_1,D872,2.0
Q8_1,D736,3.0
Q8_1,D6341,2.0
Q8_1,D7033,2.0
Q8_1,D7185,2.0
Q8_1,D10289,1.83
Q8_1,D884,1.86
Q8_1,D7081,1.17
Q8_1,D781,1.6
Q8_1,D775,1.2
Q8_1,D763,2.0
Q8_1,D7017,1.12
Q8_1,D887,2.0
Q8_1,D886,2.0
Q8_1,D885,3.0
Q8_1,D881,1.71
Q8_1,D1,2.0
Q8_1,D2209,2.0
Q8_1,D865,2.0
Q8_1,D1189,2.0
Q8_1,D1389,2.0
Q8_1,D10109,2.0
Q8_1,D10097,2.0
Q9_1,D10217,3.0
Q9_1,D7389,3.0
Q9_1,D7133,2.0
Q9_1,D3145,3.0
Q9_1,D1309,3.0
Q9_1,D4109,3.0
Q9_1,D7045,3.0
Q9_1,D6341,2.0
Q9_1,D6329,2.0
Q9_1,D8213,2.0
Q9_1,D7149,2.0
Q9_1,D1001,3.0
Q9_1,D1237,3.0
Q9_1,D8257,2.0
Q9_1,D10057,2.0
Q9_1,D4161,2.0
Q9_1,D9129,2.0
Q9_1,D10201,2.0
Q10_1,D3313,2.0
Q10_1,D5161,2.0
Q10_1,D6305,2.0
Q10_1,D5185,2.0
Q10_1,D2321,2.0
Q10_1,D5197,2.0
Q10_1,D6181,2.0
Q10_1,D10017,2.0
Q10_1,D6053,3.0
Q10_1,D8397,2.0
Q10_1,D8265,1.6
Q10_1,D5281,2.0
Q11_1,D9321,3.0
Q11_1,D10169,2.0
Q11_1,D8033,2.6
Q11_1,D8393,2.8
Q11_1,D7213,1.8
Q11_1,D9369,2.6
Q11_1,D9101,3.0
Q11_1,D9093,3.0
Q11_1,D1025,2.0
Q11_1,D9381,2.0
Q11_1,D8069,3.0
Q11_1,D9185,2.0
Q11_1,D8133,1.6
Q11_1,D8221,2.0
Q11_1,D8077,3.0
Q11_1,D9069,2.0
Q11_1,D8357,2.0
Q11_1,D9001,3.0
Q11_1,D10141,2.0
Q11_1,D7069,2.0
Q11_1,D9181,2.0
Q11_1,D10309,3.0
Q12_1,D821,2.0
Q12_1,D771,2.0
Q12_1,D869,2.0
Q12_1,D7293,2.0
Q12_1,D7365,2.0
Q12_1,D7289,2.6
Q12_1,D7001,2.6
Q12_1,D9033,2.0
Q12_1,D7225,2.0
Q12_1,D7317,2.0
Q12_1,D10197,2.0
Q12_1,D3025,2.0
Q12_1,D7361,2.0
Q12_1,D9025,3.0
Q12_1,D6045,2.6
Q12_1,D8185,2.0
Q12_1,D7085,2.6
Q12_1,D5213,2.0
Q12_1,D7213,2.0
Q13_1,D752,2.0
Q13_1,D890,2.0
Q13_1,D755,2.0
Q13_1,D770,2.0
Q13_1,D6,2.0
Q13_1,D789,3.0
Q13_1,D882,3.0
Q13_1,D10097,2.0
Q13_1,D10317,2.0
Q13_1,D1053,2.0
Q13_1,D9085,3.0
Q13_1,D9301,1.4
Q13_1,D1301,1.4
Q13_1,D9373,1.2
Q13_1,D4161,1.2
Q13_1,D889,2.0
Q13_1,D888,1.71
Q13_1,D4273,2.67
Q13_1,D7,1.2
Q13_1,D1193,1.67
Q13_1,D16,1.2
Q13_1,D762,3.0
Q13_1,D885,2.0
Q13_1,D881,1.71
Q13_1,D8249,2.0
Q13_1,D801,2.0
Q13_1,D2301,2.0
Q14_1,D9277,3.0
Q14_1,D10369,3.0
Q14_1,D9213,3.0
Q14_1,D9073,3.0
Q14_1,D9289,3.0
Q14_1,D9281,3.0
Q14_1,D9145,3.0
Q14_1,D10017,2.0
Q14_1,D9181,2.0
Q14_1,D9397,2.0
Q14_1,D10365,3.0
Q14_1,D8197,2.0
Q14_1,D8305,2.0
Q14_1,D6093,2.0
Q14_1,D6033,2.0
Q14_1,D10301,2.5
Q14_1,D9253,3.0
Q14_1,D9389,3.0
Q14_1,D2025,1.6
Q14_1,D3261,2.0
Q14_1,D8133,3.0
Q14_1,D6045,2.0
Q14_1,D9129,2.0
Q14_1,D8301,3.0
Q14_1,D2061,2.0
Q14_1,D8065,2.0
Q14_1,D6053,2.0
Q14_1,D8165,2.0
Q14_1,D8337,2.0
Q14_1,D3225,2.0
Q15_1,D1353,2.0
Q15_1,D1157,2.0
Q15_1,D8005,3.0
Q15_1,D1337,1.2
Q15_1,D1165,1.2
Q15_1,D1145,1.2
Q15_1,D1005,2.0
Q15_1,D10005,2.0
Q15_1,D2133,1.8
Q15_1,D2101,1.8
Q15_1,D1225,1.8
Q15_1,D3225,1.83
Q15_1,D2069,1.5
Q15_1,D10065,2.38
Q16_1,D6281,3.0
Q16_1,D6213,2.0
Q16_1,D1217,2.0
Q16_1,D6365,2.0
Q16_1,D1173,2.0
Q16_1,D6361,2.0
Q16_1,D6017,2.0
Q16_1,D6297,2.0
Q16_1,D1141,2.0
Q16_1,D6181,2.0
Q16_1,D6041,2.0
Q16_1,D6113,2.2
Q16_1,D10365,2.0
Q16_1,D8221,3.0
Q16_1,D1081,1.8
Q16_1,D6029,2.0
Q16_1,D10273,2.0
Q16_1,D6085,2.0
Q17_1,D3065,3.0
Q17_1,D3317,2.0
Q17_1,D3185,2.0
Q17_1,D3301,2.0
Q17_1,D3033,2.0
Q17_1,D3281,2.0
Q17_1,D3017,2.0
Q17_1,D3001,2.0
Q17_1,D3125,2.0
Q17_1,D3241,2.0
Q17_1,D3105,2.0
Q17_1,D3093,2.0
Q17_1,D3169,2.0
Q17_1,D3285,2.0
Q17_1,D3369,2.0
Q17_1,D5065,2.0
Q17_1,D7205,2.0
Q17_1,D3157,2.0
Q17_1,D3013,2.6
Q18_1,D1269,2.0
Q18_1,D10041,2.0
Q18_1,D1393,2.0
Q18_1,D5097,2.0
Q18_1,D10049,2.0
Q18_1,D6365,1.6
Q18_1,D3053,2.0
Q18_1,D5077,2.0
Q18_1,D10297,2.0
Q18_1,D10117,2.0
Q18_1,D10353,2.0
Q18_1,D4037,2.0
Q18_1,D10153,1.6
Q18_1,D8285,1.6
Q18_1,D5321,1.6
Q18_1,D10145,1.6
Q18_1,D3061,1.6
Q18_1,D10345,3.0
Q18_1,D10181,1.6
Q18_1,D10021,2.0
Q18_1,D9129,2.0
Q18_1,D5177,2.0
Q18_1,D10065,1.6
Q18_1,D811,2.0
Q18_1,D6249,2.0
Q19_1,D7261,2.0
Q19_1,D7381,3.0
Q19_1,D5153,3.0
Q19_1,D7069,3.0
Q19_1,D5137,2.0
Q19_1,D10213,3.0
Q19_1,D8129,3.0
Q19_1,D5149,2.0
Q19_1,D10377,2.0
Q19_1,D8393,1.4
Q19_1,D2297,2.0
Q19_1,D5169,2.2
Q19_1,D7149,2.2
Q19_1,D7049,3.0
Q19_1,D9169,1.17
Q19_1,D1125,1.4
Q19_1,D5253,1.2
Q19_1,D5177,1.83
Q19_1,D7201,2.0
Q20_1,D814,2.0
Q20_1,D820,2.0
Q20_1,D1097,2.0
Q20_1,D9189,3.0
Q20_1,D8129,2.0
Q20_1,D1333,1.2
Q20_1,D8249,2.0
Q20_1,D9205,2.2
Q20_1,D9337,1.33
Q20_1,D9013,2.0
Q20_1,D1213,1.17
Q20_1,D8301,1.12
Q20_1,D1125,1.4
Q20_1,D5253,2.0
Q20_1,D762,2.0
Q21_1,D10193,2.0
Q21_1,D4261,2.0
Q21_1,D6285,3.0
Q21_1,D10393,2.0
Q21_1,D6009,3.0
Q21_1,D10297,2.0
Q21_1,D6245,3.0
Q21_1,D10353,2.0
Q21_1,D3157,1.2
Q21_1,D1029,1.6
Q21_1,D6157,3.0
Q21_1,D6145,1.2
Q21_1,D8205,2.2
Q21_1,D6093,2.6
Q21_1,D10125,2.14
Q21_1,D8301,1.88
Q21_1,D10145,2.0
Q21_1,D10345,2.33
Q21_1,D10065,2.12
Q21_1,D6033,2.0
Q21_1,D8217,3.0
Q22_1,D6209,3.0
Q22_1,D6013,3.0
Q22_1,D6001,3.0
Q22_1,D6121,3.0
Q22_1,D6241,3.0
Q22_1,D6057,3.0
Q22_1,D6169,3.0
Q22_1,D6289,3.0
Q22_1,D6085,2.0
Q22_1,D6381,3.0
Q22_1,D6225,2.0
Q22_1,D6049,3.0
Q22_1,D6025,3.0
Q22_1,D6297,3.0
Q22_1,D6281,3.0
Q23_1,D9029,2.0
Q23_1,D9077,2.0
Q23_1,D1297,2.0
Q23_1,D3385,2.0
Q23_1,D6081,2.0
Q23_1,D1293,2.0
Q23_1,D6245,1.17
Q23_1,D6145,3.0
Q23_1,D7073,1.25
Q23_1,D6029,2.0
Q23_1,D8333,2.0
Q24_1,D861,3.0
Q24_1,D6077,3.0
Q24_1,D6113,2.8
Q24_1,D10301,2.83
Q24_1,D3261,3.0
Q24_1,D3225,2.67
Q24_1,D6369,3.0
Q24_1,D8357,2.0
Q24_1,D3013,2.83
Q24_1,D10021,2.67
Q24_1,D2097,3.0
Q24_1,D10037,2.0
Q24_1,D10125,3.0
Q25_1,D9149,3.0
Q25_1,D3309,2.0
Q25_1,D7329,3.0
Q25_1,D2021,1.8
Q25_1,D10073,3.0
Q25_1,D10061,3.0
Q25_1,D3053,2.0
Q25_1,D1141,2.0
Q25_1,D9165,3.0
Q25_1,D8285,2.0
Q25_1,D10029,3.0
Q25_1,D5289,3.0
Q25_1,D8301,1.5
Q25_1,D10241,2.67
Q25_1,D8077,1.67
Q25_1,D3101,2.0
Q25_1,D6345,2.0
Q26_1,D2213,3.0
Q26_1,D2305,3.0
Q26_1,D2049,2.0
Q26_1,D2053,2.0
Q26_1,D2057,2.0
Q26_1,D2061,2.0
Q26_1,D2065,2.0
Q26_1,D2073,2.0
Q26_1,D2081,2.0
Q26_1,D2085,2.0
Q26_1,D2093,2.0
Q26_1,D2101,2.0
Q26_1,D2105,2.0
Q26_1,D2113,2.0
Q26_1,D2121,2.0
Q26_1,D2129,2.0
Q26_1,D2137,2.0
Q26_1,D2141,2.0
Q26_1,D2145,2.0
Q26_1,D2149,2.0
Q26_1,D2153,2.0
Q26_1,D2157,2.0
Q26_1,D2165,2.0
Q26_1,D2169,2.0
Q26_1,D2181,2.0
Q26_1,D2189,2.0
Q26_1,D7321,2.0
Q26_1,D2201,2.0
Q26_1,D2209,2.0
Q26_1,D2217,2.0
Q26_1,D9385,2.0
Q26_1,D2221,2.0
Q26_1,D2229,2.0
Q26_1,D2237,2.0
Q26_1,D2241,2.0
Q26_1,D2249,2.0
Q26_1,D2261,2.0
Q26_1,D2265,2.0
Q26_1,D2269,2.0
Q26_1,D2281,2.0
Q26_1,D2289,2.0
Q26_1,D2297,2.0
Q26_1,D2309,2.0
Q26_1,D2317,2.0
Q26_1,D2321,2.0
Q26_1,D10009,2.0
Q26_1,D2329,2.0
Q26_1,D2333,2.0
Q26_1,D2341,2.0
Q26_1,D2345,2.0
Q26_1,D2353,2.0
Q26_1,D2365,2.0
Q26_1,D2369,2.0
Q26_1,D2377,2.0
Q26_1,D2381,2.0
Q26_1,D2385,2.0
Q26_1,D2389,2.0
Q26_1,D2001,2.0
Q26_1,D2005,2.0
Q26_1,D2009,2.0
Q26_1,D2021,2.0
Q26_1,D2025,2.0
Q26_1,D2029,2.0
Q26_1,D2033,2.0
Q26_1,D2037,2.0
Q26_1,D2089,2.0
Q26_1,D2077,2.0
Q26_1,D2393,2.0
Q26_1,D2233,2.0
Q26_1,D2245,2.0
Q26_1,D2117,2.0
Q26_1,D2133,2.0
Q26_1,D2069,2.0
Q26_1,D2373,2.0
Q26_1,D2125,2.0
Q26_1,D2361,2.0
Q26_1,D2253,2.0
Q26_1,D2045,2.0
Q26_1,D2349,2.0
Q26_1,D2197,2.0
Q26_1,D2293,2.0
Q26_1,D2041,2.0
Q26_1,D2205,2.0
Q26_1,D2397,2.0
Q26_1,D2357,2.0
Q26_1,D2337,2.0
Q26_1,D2173,2.0
Q26_1,D2017,2.0
Q26_1,D2301,2.0
Q1_2,D3,3.0
Q1_2,D847,2.0
Q1_2,D787,2.6
Q1_2,D8041,2.0
Q1_2,D10389,2.0
Q2_2,D6,2.2
Q2_2,D14,3.0
Q2_2,D747,2.0
Q2_2,D1,2.0
Q2_2,D15,2.0
Q2_2,D813,2.0
Q2_2,D5,2.0
Q2_2,D7273,2.0
Q2_2,D5221,2.0
Q2_2,D2013,2.0
Q2_2,D734,2.0
Q2_2,D6221,2.0
Q2_2,D6201,2.0
Q2_2,D6069,2.0
Q2_2,D6189,2.0
Q2_2,D2213,2.0
Q2_2,D6393,2.0
Q2_2,D2333,2.0
Q2_2,D10389,2.0
Q2_2,D4237,2.0
Q2_2,D5241,2.0
Q2_2,D1149,1.8
Q2_2,D2169,1.8
Q2_2,D10077,1.2
Q2_2,D1117,1.8
Q2_2,D2061,1.8
Q2_2,D6361,1.62
Q2_2,D5225,2.0
Q2_2,D5285,1.8
Q2_2,D2073,1.8
Q2_2,D5265,2.0
Q2_2,D4233,1.8
Q2_2,D5321,1.83
Q2_2,D884,1.71
Q2_2,D888,2.43
Q2_2,D7,1.2
Q2_2,D774,2.6
Q2_2,D877,3.0
